antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
BEERS/ALES,BAKED BREAD/BUNS/ROLLS,0.06203741084645405,0.2228502220427937,0.020185708518368994,0.32537960954446854,1.4600820522493634,1.0,0.006360657736276691,1.1519808605732222,0.33594835007173596,0.0762582613116421,0.13193002225540185,0.20797965984469804,BEERS/ALES,BAKED BREAD/BUNS/ROLLS
CANDY - PACKAGED,BAKED BREAD/BUNS/ROLLS,0.07993540573274122,0.2228502220427937,0.025703135513389853,0.3215488215488216,1.4428920851022302,1.0,0.007889512596767668,1.1454763476590089,0.33361513844824936,0.09276347741622147,0.12700074336437978,0.21844349290001466,CANDY - PACKAGED,BAKED BREAD/BUNS/ROLLS
CANNED JUICES,BAKED BREAD/BUNS/ROLLS,0.07387969317723052,0.2228502220427937,0.03552684699232943,0.4808743169398907,2.15783638235527,1.0,0.019062740963330136,1.4970358880649342,0.5793770309899342,0.13601236476043277,0.3320133418494074,0.32014730339748154,CANNED JUICES,BAKED BREAD/BUNS/ROLLS
BAKED BREAD/BUNS/ROLLS,CHEESE,0.2228502220427937,0.16431166733952363,0.08504911855739469,0.38164251207729466,2.3226744531092356,1.0,0.0484322270065602,1.351464725474364,0.7327568633897746,0.2815144766146993,0.2600620784615743,0.44962551484290614,BAKED BREAD/BUNS/ROLLS,CHEESE
CHEESE,BAKED BREAD/BUNS/ROLLS,0.16431166733952363,0.2228502220427937,0.08504911855739469,0.5176085176085176,2.3226744531092356,1.0,0.0484322270065602,1.6110354480233426,0.6814284840702011,0.2815144766146993,0.3792811938266483,0.44962551484290614,CHEESE,BAKED BREAD/BUNS/ROLLS
CHEESES,BAKED BREAD/BUNS/ROLLS,0.03794913201453371,0.2228502220427937,0.024088278831920332,0.6347517730496454,2.84833359029705,1.0,0.015631306336150202,2.127730460038176,0.6745147776264367,0.10176236498010233,0.5300156581007645,0.37142178024462946,CHEESES,BAKED BREAD/BUNS/ROLLS
CHICKEN,BAKED BREAD/BUNS/ROLLS,0.06028798277486207,0.2228502220427937,0.028932848876328892,0.47991071428571425,2.1535123900103517,1.0,0.015497658528438759,1.494262234012139,0.5700068938185426,0.11381683430386448,0.33077342300556584,0.3048708160800552,CHICKEN,BAKED BREAD/BUNS/ROLLS
COLD CEREAL,BAKED BREAD/BUNS/ROLLS,0.09083568833266048,0.2228502220427937,0.04884941461445297,0.5377777777777778,2.4131803542673107,1.0,0.028606661300109575,1.6813336542343407,0.6441179924548244,0.18445121951219512,0.40523405483405484,0.3784903381642512,COLD CEREAL,BAKED BREAD/BUNS/ROLLS
CONDIMENTS/SAUCES,BAKED BREAD/BUNS/ROLLS,0.08114654824384336,0.2228502220427937,0.045619701251513926,0.5621890547263682,2.5227215372413294,1.0,0.02753617495736716,1.7750807428340734,0.6569085649408215,0.17656249999999998,0.4366453447050462,0.3834495998269522,CONDIMENTS/SAUCES,BAKED BREAD/BUNS/ROLLS
CONVENIENT BRKFST/WHLSM SNACKS,BAKED BREAD/BUNS/ROLLS,0.05275198492800431,0.2228502220427937,0.02866370609608397,0.5433673469387755,2.4382625332741794,1.0,0.016907914541680107,1.7019145975375691,0.62272169742421,0.11607629427792915,0.4124264510999205,0.3359952676722863,CONVENIENT BRKFST/WHLSM SNACKS,BAKED BREAD/BUNS/ROLLS
